germany_solar_gen_last_week;germany_wind_gen_last_week
0.5;5234.75
0.5;5243.0
0.75;5270.75
0.75;5325.75
0.5;5303.5
0.5;5297.0
0.5;5335.0
0.5;5354.25
0.5;5368.5
0.5;5385.25
0.5;5442.5
0.5;5489.0
0.75;5517.0
0.75;5528.0
0.75;5582.25
1.75;5629.5
12.5;5594.5
65.25;5584.5
174.0;5574.0
328.75;5489.25
499.5;5429.75
672.75;5395.25
866.5;5357.0
1069.25;5290.0
1270.75;5264.0
1469.0;5233.25
1681.75;5214.5
1855.5;5260.75
2005.5;5252.5
2134.0;5247.75
2249.0;5279.0
2345.75;5287.25
2407.5;5282.25
2451.75;5311.25
2433.75;5310.75
2405.75;5278.5
2366.25;5234.0
2294.25;5210.75
2164.25;5232.25
2014.0;5223.0
1821.5;5225.25
1590.5;5323.5
1344.25;5369.25
1088.0;5392.5
830.75;5430.0
573.75;5593.25
343.25;5749.75
165.25;5949.0
53.25;6163.25
9.5;6331.75
1.0;6556.0
1.5;6756.0
1.0;7011.75
1.25;7268.25
0.75;7498.25
1.25;7635.75
0.5;7821.75
0.5;7961.0
0.5;8099.5
0.5;8136.0
0.5;8235.5
0.5;8281.5
0.5;8344.25
0.5;8408.25
0.5;8445.25
0.5;8473.5
0.5;8497.25
0.5;8513.5
0.5;8507.5
0.5;8464.5
0.5;8380.0
0.5;8227.0
0.5;8278.25
0.5;8290.5
0.5;8300.75
0.5;8301.0
0.5;8278.25
0.5;8259.25
0.5;8300.0
0.5;8248.25
0.5;8273.0
0.5;8207.25
0.5;8089.5
0.5;8075.75
0.5;8054.0
0.5;7936.75
0.5;7870.25
0.5;7849.0
0.5;7734.0
0.5;7621.0
0.5;7497.5
0.5;7367.25
0.5;7287.5
0.5;7226.75
0.5;7198.25
0.5;7094.75
0.5;7101.0
0.75;7155.5
0.5;7072.5
0.5;7025.5
0.5;6940.75
0.5;6852.5
0.75;6779.0
0.5;6669.5
0.5;6614.0
0.5;6607.0
0.5;6618.75
0.5;6648.0
0.5;6556.0
0.5;6550.75
1.25;6595.25
3.75;6600.0
23.25;6587.5
58.25;6629.25
95.25;6654.5
146.5;6742.5
216.5;6746.75
308.25;6663.75
419.5;6594.0
531.25;6560.75
656.5;6444.25
793.5;6364.75
919.75;6317.25
1026.75;6295.25
1110.0;6255.25
1186.75;6136.5
1250.5;6081.25
1265.25;6088.75
1277.0;6075.25
1287.5;5997.75
1265.5;5957.25
1212.75;5860.5
1160.0;5815.5
1087.25;5780.25
1001.75;5680.25
911.5;5639.0
827.25;5555.5
721.25;5457.75
598.0;5375.25
471.75;5309.25
369.25;5351.25
266.75;5327.25
168.75;5431.25
85.25;5672.75
28.5;5740.5
4.25;5840.75
1.0;5924.25
0.75;6022.5
0.5;6086.75
0.75;6118.75
0.75;6181.0
0.5;6232.75
0.5;6232.25
0.5;6217.75
0.5;6144.0
0.5;6061.0
0.5;6096.25
0.5;6143.25
0.75;6187.25
1.5;6197.0
0.5;6199.75
0.5;6238.5
0.5;6239.25
0.5;6181.25
0.5;6204.0
0.5;6226.5
0.5;6257.0
0.5;6233.0
0.5;6316.5
0.5;6357.75
0.5;6386.5
0.5;6451.25
0.5;6548.25
0.5;6611.0
0.5;6643.5
0.5;6697.75
0.5;6721.0
0.5;6724.5
0.5;6759.5
0.5;6813.75
0.5;6783.75
0.5;6734.5
0.5;6636.75
0.75;6745.0
0.5;6830.5
0.75;6816.0
0.5;6650.25
0.5;6592.5
0.5;6624.25
0.75;6672.0
0.75;6626.5
0.5;6535.5
0.5;6362.0
0.5;6374.75
0.75;6365.0
0.5;6268.0
0.75;6215.25
0.5;6241.0
0.75;6208.5
0.75;6223.75
0.5;6190.0
0.75;6244.75
1.25;6319.25
0.5;6460.0
0.5;6562.25
0.75;6580.25
0.75;6632.25
1.75;6587.75
8.25;6665.5
40.5;6807.25
100.5;6869.0
192.0;6737.25
306.5;6624.5
435.25;6503.5
596.75;6435.5
722.5;6416.25
839.25;6360.75
937.5;6349.5
1036.0;6360.75
1132.25;6367.0
1188.75;6325.75
1241.75;6238.5
1290.5;6072.0
1282.0;5937.0
1283.25;5811.25
1273.75;5623.0
1263.25;5526.75
1248.75;5341.75
1253.5;5139.25
1190.75;4941.5
1106.75;4758.0
1030.0;4601.0
939.25;4492.25
873.75;4413.25
723.25;4313.25
573.0;4176.25
440.5;4120.0
309.0;4082.0
185.25;4013.75
92.25;4010.5
35.75;4050.0
9.0;4138.0
2.25;4159.75
0.75;4173.5
0.5;4167.25
1.0;4217.0
0.5;4383.25
1.25;4410.75
0.75;4477.0
